CONAME,DIST,DISTNAME,salary_2018,salary_2017,salary_2016
Essex,7320,North Star Academy Charter S,"$63,000 ","$61,000","$61,000"
Monmouth,3040,Matawan-Aberdeen Regional,"$62,940 ","$67,140","$64,120"
Ocean,2940,Manchester Township,"$62,904 ","$61,846","$59,403"
Sussex,640,Byram Township,"$62,812 ","$63,557","$62,724"
Camden,1720,Gibbsboro Borough,"$62,774 ","$60,483","$60,738"
Morris,2380,Jefferson Township,"$62,753 ","$56,261","$56,351"
Camden,340,Berlin Township,"$62,680 ","$65,457","$68,680"
Camden,580,Brooklawn Borough,"$62,650 ","$58,401","$59,605"
Cumberland,5070,Stow Creek Township,"$62,631 ","$56,522","$54,532"
Bergen,1360,Emerson Borough,"$62,625 ","$60,500","$57,375"
Middlesex,4920,South River Borough,"$62,620 ","$59,960","$57,950"
Essex,1400,Essex Fells Borough,"$62,536 ","$60,938","$60,829"
Monmouth,5640,West Long Branch Borough,"$62,515 ","$62,515","$61,975"
Passaic,2100,Hawthorne Borough,"$62,515 ","$61,640","$59,135"
Morris,4560,Roxbury Township,"$62,481 ","$65,050","$60,292"
Burlington,2960,Mansfield Township,"$62,288 ","$60,264","$60,254"
Morris,3380,Morris Plains Borough,"$62,238 ","$59,704","$57,577"
Monmouth,2770,Long Branch City,"$62,225 ","$62,686","$61,956"
Hunterdon,2308,Hunterdon Co Vocational,"$62,130 ","$62,150","$61,220"
Warren,2470,Knowlton Township,"$62,091 ","$59,025","$57,182"
Ocean,320,Berkeley Township,"$62,056 ","$58,961","$58,500"
Sussex,1570,Franklin Borough,"$62,055 ",,"$57,325"
Sussex,5110,Sussex County Vocational,"$62,000 ","$64,910","$62,090"
Bergen,4410,River Edge Borough,"$61,977 ","$61,977","$61,813"
